date,team,score,suf_score,rank,rank_suf,total_points,result,rank_dif,points_by_rank,team_points
2023-03-28,Costa Rica,0.0,1.0,32.0,61.0,1500.0,1,-29.0,0.0,0
2023-03-28,Haiti,3.0,1.0,87.0,169.0,1269.0,0,-82.0,0.01775147928994083,3
2023-03-28,Guyana,0.0,0.0,171.0,179.0,969.0,2,-8.0,0.00558659217877095,1
2023-03-28,Tanzania,0.0,1.0,130.0,89.0,1120.0,1,41.0,0.0,0
2023-03-28,Kosovo,1.0,1.0,107.0,153.0,1187.0,2,-46.0,0.006535947712418301,1
2023-03-28,Georgia,1.0,1.0,78.0,43.0,1306.0,2,35.0,0.023255813953488372,1
2023-03-29,Rwanda,1.0,1.0,137.0,91.0,1094.0,2,46.0,0.01098901098901099,1
2023-03-31,Nepal,2.0,1.0,175.0,187.0,957.0,0,-12.0,0.016042780748663103,3
2023-04-19,United States,1.0,1.0,13.0,15.0,1654.0,2,-2.0,0.06666666666666667,1
2023-06-07,Mexico,2.0,0.0,15.0,116.0,1632.0,0,-101.0,0.02586206896551724,3
2023-06-09,Luxembourg,0.0,1.0,91.0,172.0,1246.0,1,-81.0,0.0,0
2023-06-10,Mexico,2.0,2.0,15.0,42.0,1632.0,2,-27.0,0.023809523809523808,1
2023-06-10,Panama,3.0,2.0,58.0,140.0,1399.0,0,-82.0,0.02142857142857143,3
2023-06-11,Chile,3.0,0.0,31.0,165.0,1511.0,0,-134.0,0.01818181818181818,3
2023-06-11,Mauritius,3.0,0.0,180.0,195.0,932.0,0,-15.0,0.015384615384615385,3
2023-06-11,Guatemala,0.0,1.0,116.0,104.0,1165.0,1,12.0,0.0,0
2023-06-11,Uzbekistan,3.0,0.0,74.0,73.0,1318.0,0,1.0,0.0410958904109589,3
2023-06-11,Tajikistan,1.0,1.0,109.0,137.0,1182.0,2,-28.0,0.0072992700729927005,1
2023-06-12,Germany,3.0,3.0,14.0,30.0,1647.0,2,-16.0,0.03333333333333333,1
2023-06-12,Morocco,0.0,0.0,11.0,71.0,1678.0,2,-60.0,0.014084507042253521,1
2023-06-13,Iran,6.0,1.0,24.0,155.0,1553.0,0,-131.0,0.01935483870967742,3
2023-06-13,Curaçao,0.0,0.0,88.0,39.0,1272.0,2,49.0,0.02564102564102564,1
2023-06-14,Togo,2.0,0.0,129.0,150.0,1130.0,0,-21.0,0.02,3
2023-06-14,DR Congo,1.0,0.0,70.0,89.0,1339.0,0,-19.0,0.033707865168539325,3
2023-06-14,Indonesia,0.0,0.0,149.0,93.0,1046.0,2,56.0,0.010752688172043012,1
2023-06-14,Malaysia,4.0,1.0,138.0,134.0,1082.0,0,4.0,0.022388059701492536,3
2023-06-14,Mozambique,1.0,1.0,119.0,127.0,1155.0,2,-8.0,0.007874015748031496,1
2023-06-14,Uruguay,4.0,1.0,16.0,140.0,1631.0,0,-124.0,0.02142857142857143,3
2023-06-14,Netherlands,2.0,4.0,6.0,7.0,1731.0,1,-1.0,0.0,0
2023-06-14,Oman,1.0,1.0,73.0,109.0,1334.0,2,-36.0,0.009174311926605505,1
2023-06-14,Pakistan,0.0,1.0,195.0,102.0,861.0,1,93.0,0.0,0
2023-06-14,Mauritius,1.0,3.0,180.0,193.0,932.0,1,-13.0,0.0,0
2023-06-14,South Sudan,2.0,3.0,163.0,120.0,993.0,1,43.0,0.0,0
