date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,rank_home,total_points_home,rank_away,total_points_away
2025-11-13,Lithuania,Israel,0.0,0.0,Friendly,Kaunas,Lithuania,False,146.0,1056.0,78.0,1325.0
2025-11-13,Republic of Ireland,Portugal,2.0,0.0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,62.0,1401.0,5.0,1778.0
2025-11-13,Cameroon,DR Congo,0.0,1.0,FIFA World Cup qualification,Rabat,Morocco,True,54.0,1454.0,60.0,1421.0
2025-11-13,United Arab Emirates,Iraq,1.0,1.0,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False,67.0,1380.0,57.0,1429.0
2025-11-13,Nigeria,Gabon,4.0,1.0,FIFA World Cup qualification,Rabat,Morocco,True,41.0,1495.0,77.0,1330.0
2025-11-13,France,Ukraine,4.0,0.0,FIFA World Cup qualification,Paris,France,False,3.0,1863.0,27.0,1555.0
2025-11-13,North Macedonia,Latvia,0.0,0.0,Friendly,Skopje,North Macedonia,False,65.0,1391.0,139.0,1084.0
2025-11-13,Algeria,Zimbabwe,3.0,1.0,Friendly,Jeddah,Saudi Arabia,True,35.0,1510.0,129.0,1126.0
2025-11-13,Thailand,Singapore,3.0,2.0,Friendly,Pathum Thani,Thailand,False,96.0,1235.0,155.0,1030.0
2025-11-13,Canada,Ecuador,0.0,0.0,Friendly,Toronto,Canada,False,28.0,1555.0,23.0,1590.0
2025-11-13,Armenia,Hungary,0.0,1.0,FIFA World Cup qualification,Yerevan,Armenia,False,104.0,1205.0,37.0,1505.0
2025-11-13,Andorra,Albania,0.0,1.0,FIFA World Cup qualification,Encamp,Andorra,False,172.0,955.0,61.0,1401.0
2025-11-13,Moldova,Italy,0.0,2.0,FIFA World Cup qualification,Chișinău,Moldova,False,156.0,1020.0,9.0,1717.0
2025-11-13,England,Serbia,2.0,0.0,FIFA World Cup qualification,London,England,False,4.0,1824.0,36.0,1508.0
2025-11-13,Iran,Cape Verde,0.0,0.0,Al Ain International Cup,Al Ain,United Arab Emirates,True,21.0,1618.0,71.0,1364.0
2025-11-13,Papua New Guinea,Solomon Islands,1.0,0.0,MSG Prime Minister's Cup,Port Moresby,Papua New Guinea,False,170.0,969.0,149.0,1046.0
2025-11-13,Bermuda,Curaçao,0.0,7.0,FIFA World Cup qualification,Devonshire Parish,Bermuda,False,168.0,977.0,82.0,1296.0
